REC,"CIF","NOM","ADRECA","CODI_POSTAL","POBLACIO","DISTRICTE",LONGITUD,LATITUD,"TELEFON","E_MAIL","WEB","TIPUS_ENTITAT","REGISTRE_OFICIAL",DATA_FUNDACIO,"CODI_ENS","NOM_ENS"
"46","G59382408","Penya blaugrana Ramon Llorens","c. Unió, 12","08191","Rubí",,,,"93 004 50 49","social@pbramonllorens.cat","www.agrupaciofcb.com/p-b-ramon-llorens/","Associació",,,"818460009","Ajuntament de Rubí"
"48","G78558483","Sociedad Teosófica Española","c. Pomaret, 114","08017","Barcelona",,,,"936748572","presidencia@sociedadteosofica.es; secretaria@sociedadteosofica.es","www.sociedadteosofica.es","Associació","Registro nacional de asociaciones (Ministeri Interior)","1977-05-14T01:00:00.000+02:00","818460009","Ajuntament de Rubí"
"49","G08919953","Grup fotogràfic El Gra","C. Historiador Serra, 2","08191","Rubí","4","2.0304454031","41.4867608043","629803543","elgrafoto@gmail.com","www.grupfotograficelgra.cat/","Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"50","G58978651","Gimnàs Artístic i Esportiu Rubí","c. Bonaventura Aribau, 5 4t","08191","Rubí",,,,"936998190","gaerubi@hotmail.com",,"Associació",,"1977-03-01T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"51","G08983199","Agrupament Escolta Guspira (Escoltes Catalans)","Pg. De la Riera, 30-32","08191","Rubí",,,,"649692085","aeguspirarubi@gmail.com","www.aeguspira.wixsite.com/aeguspira","Associació","Registre d'associacions (Generalitat)","1984-06-15T00:00:00.000+02:00","818460009","Ajuntament de Rubí"
"56","G58173063","A.E. Albada, Centre Marista d'Escoltes","C. Magallanes, 65","08191","Rubí","6","2.0366568767","41.4903497386","622951118","aealbada@maristes.cat","cms.maristes.cat/","Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"59","G58451774","Grup de teatre Esbarjo (Regina Carmeli)","C. SANT SEBASTIÀ, 34","08191","RUBÍ",,,,"639 378 403","checanona@gmail.com",,"Associació",,,"818460009","Ajuntament de Rubí"
"60","G58451774","AMPA Regina Carmeli","C. Sant Sebastià, 34","08191","Rubí","4","2.029416161","41.4895887499","936990353","carme.ampa@reginacarmeli.com","www.reginacarmeli.com/ampa/","Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"61","G60836871","Grup de Teatre CORIMBO","C. Topazi, 1","08191","Rubí","1","2.0258185963","41.4900554949","627085212","caguilera@addvante.com",,"Associació","Registre d'associacions (Generalitat)","1993-04-30T00:00:00.000+02:00","818460009","Ajuntament de Rubí"
"62","G59818559","AV Font de la Via","Pg. De la Riera, s/n","08191","Rubí",,,,"699171177","aa.vv.fontdelavia@hotmail.es",,"Associació","Registre d'associacions (Generalitat)","1986-11-04T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"65","G58376740","AFA Escola Ramon Llull","Avd. de les Flors 39-43","08191","Rubí",,,,"629541054","afaramonllullrubi@gmail.com",,"Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"66","G59823377","AV La Plana de Can Bertran","c. General Castaños, 2","08191","Rubí",,,,"699071371","a.v.canbertran@gmail.com",,"Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"70","G08992786","Associació de Persones amb diversitat intel·lectual de Rubí. APDIR","GRUP VINT-I-CINC DE SETEMBRE, 47","08191","RUBÍ",,,,"691430298","apdir@apdir.org; apdir2015@gmail.com",,"Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"71","V59492041","Obrador Coral de Rubí","Santa Eulàlia, 5 1r 1a","08191","Rubí",,,,"639791669","obrador.coral@gmail.com",,"Associació","Registre d'associacions (Generalitat)","1990-06-20T00:00:00.000+02:00","818460009","Ajuntament de Rubí"
"72","G60480985","Hermandad Rociera Andaluza de Rubí","Ctra. Sabadell, 183","08191","Rubí","5","2.0346568799","41.5029042213","676253770","hermandadrocierarubi@hotmail.com",,"Associació","Registre d'associacions (Generalitat)","1989-05-25T00:00:00.000+02:00","818460009","Ajuntament de Rubí"
"77","G62424767","Societat Sant Antoni Abat de Rubí","C. Rafael Casanova, 1","08191","Rubí","4","2.031398095","41.4925671909","630228007","trestombsrubi@gmail.com",,"Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"78","G59549956","Club Petanca el Vallès","C. Maria Aurèlia Capmany, 35-39","08191","Rubí","5","2.034232205","41.4999254741","651476424","antonioexpositojimenez@gmail.com",,"Entitats esportives","Registre d'Entitats Esportives",,"818460009","Ajuntament de Rubí"
"79","G60118650","Peña cultural flamenca Calixto Sánchez","Ctra. Sabadell, s/n","08191","Rubí",,,,"629832701","calixtosanchez1980@hotmail.com",,"Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"80","G60208972","Club esportiu Rubí Futbol Sala","C. Joaquim Blume s/n, L'Escardívol","08191","Rubí",,"2.0291404966","41.4939877011","669618516","esportiurubifs@hotmail.com","www.futbolsalaweb.com","Entitats esportives","Registre d'Entitats Esportives","1986-06-30T00:00:00.000+02:00","818460009","Ajuntament de Rubí"
"81","G08804916","Unión Extremeña de Rubí","Plana de Can Bertran, 10","08191","Rubí",,,,"649325055","unioexrubi@hotmail.com","unionextremederubi.blogspot.com/","Associació","Registre d'Entitats Esportives","1979-04-04T01:00:00.000+02:00","818460009","Ajuntament de Rubí"
"84","G58525643","Club Petanca Santa Rosa","Parc de Ca n'Oriol","08191","Rubí","5","2.0434773609","41.5004454839","661409039","mcvalbes@hotmail.com",,"Entitats esportives","Registre d'Entitats Esportives","1986-09-27T00:00:00.000+02:00","818460009","Ajuntament de Rubí"
"85","G61139432","Club Petanca Unió Les Torres-Rubí","Av. Cova Solera, 4","08191","Rubí","1","2.0276092284","41.4841345283","676119377","lastorresrubi@gmail.com",,"Entitats esportives","Registre d'Entitats Esportives","1995-05-10T00:00:00.000+02:00","818460009","Ajuntament de Rubí"
"86","V58070103","Centre Excursionista de Rubí","Passeig de la Riera, 30-32","08191","Rubí","4","2.0289687958","41.4886977687","626175815","cer@rubicer.cat","www.rubicer.cat/","Entitats esportives","Registre d'Entitats Esportives",,"818460009","Ajuntament de Rubí"
"87","G58375346","AMPA Escola Schola","C. Sant Pere, 12","08191","Rubí","4","2.0326481534","41.490060992","659000644","ampaschola@gmail.com",,"Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"88","G59881409","Associació de Veïns Zona Nord","C.Maria Aurèlia Capmany, 32-34","08191","Rubí","5","2.0347890755","41.4999002655","636589475","carumo16@gmail.com",,"Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"89","G59496711","Associació de Veïns Els Avets (ASPUR)","Pl. dels Ocells,s/n","08191","Rubí",,,,"636561613","gemmagr93@gmail.com",,"Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"90","G58239013","AMPA INS JV FOIX","Ctra. de Rubí a Ullastrell , s/n","08191","Rubí","2","1.9965818261","41.5070123859","620891410","ampa.jvfoix@gmail.com","agora.xtec.cat/insjvfoix/ampa/","Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"98","G58202953","Centro Cultural Casa de Andalucía en Rubí","C. Orso, 6","08191","Rubí","4","2.0304626618","41.4946655724","936970062","casadeandaluciaenrubi@hotmail.com",,"Associació","Registre d'associacions (Generalitat)","1985-04-10T00:00:00.000+02:00","818460009","Ajuntament de Rubí"
"99","G60319944","Ass. D'animació cultural del carrer Sant Jaume","c. Sant Jaume, 27","08191","Rubí",,,,"93 6972781","xavier.cots@gmail.com",,"Associació","Registre d'associacions (Generalitat)","1982-05-01T00:00:00.000+02:00","818460009","Ajuntament de Rubí"
"101","G59678102","Club Ciclista Rubí","Carrer Marconi nº10",,,,,,"652921561","clubciclistarubi@gmail.com","ccrubi.blogspot.com/","Entitats esportives","Registre d'Entitats Esportives","1971-05-05T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"104","G59755363","Associació de Pessebristes de Rubí","Av. Castellbisbal, 109","08191","Rubí",,,,"654238328","pessebristes.rubi@gmail.com",,"Associació","Registre d'associacions (Generalitat)","1990-03-20T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"109","G60429636","Club Esportiu Maristes Rubí","C. Magallanes, 65","08191","Rubí","6","2.0366568767","41.4903497386","935885022","cemrubi@maristes.cat","cemrubi.maristes.cat/","Entitats esportives","Registre d'entitats religioses",,"818460009","Ajuntament de Rubí"
"110","V66203159","Joventuts d'Esquerra Republicana de Catalunya de Rubí","c. Sant Josep,  16","08191","Rubí",,,,"936776737","rubi@esquerra.cat","https://www.esquerrarubi.cat/","Partit polític",,,"818460009","Ajuntament de Rubí"
"115","G60552916","Centre Cultural de Raja Ioga","c. Santa Llúcia, 25","08191","Rubí",,,,"626892613","yogapbel@gmail.com",,"Associació","Registre d'associacions (Generalitat)","1993-09-13T00:00:00.000+02:00","818460009","Ajuntament de Rubí"
"118","G60595964","Associació Esportiva Terranova","c. Hàndbol, 1-8","08191","Rubí",,,,"693834624","associacioesportivaterranova@gmail.com","www.associacioesportivaterranova.com","Associació","Registre d'associacions (Generalitat)","1994-02-14T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"119","G59429290","Ass. Compartir-Grup Social Marista","Ctra. de Sabadel C-1413a s/n","08191","Rubí","5","2.0456154422","41.5085965535","670550199","ccelpinar.dir@maristes.cat","https://www.maristes.cat/obres-socials/associacio-compartir-rubi",,,"1990-06-06T00:00:00.000+02:00","818460009","Ajuntament de Rubí"
"122","G60313459","Associació Colla de Geganters de Rubí","CARRETERA DE TERRASSA N. 10, LOCAL 2","08191","RUBÍ",,,,"633581635","gegantsrubi@gmail.com",,"Associació","Registre d'associacions (Generalitat)","1992-04-25T00:00:00.000+02:00","818460009","Ajuntament de Rubí"
"125","Q0801202C","Cooperació, Agència Catalana de Cooperació Internacional","c. Elisabets, 11","00000","Barcelona",,,,"0000000",,,,,,"818460009","Ajuntament de Rubí"
"126","G60892452","Associació de Veïns de Can Serrallac","Camí de Sant Muç, s/n","08191","Rubí",,,,"659389091","manuelfuentesgarcia37@gmail.com",,"Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"127","G61043188","Associació de Veïns Can Serrafossà","c. Joventud, 14","08191","Rubí",,,,"649454635","esteban@ditegsl.com",,"Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"128","G60871761","Club Voleibol Rubí","c. Monturiol, 17","08191","Rubí",,,,"625436373","cvrubi@hotmail.com","www.clubvoleibolrubi.com","Entitats esportives","Registre d'Entitats Esportives","1995-09-06T00:00:00.000+02:00","818460009","Ajuntament de Rubí"
"130","G61044673","Asso. De Vecinos de la Plana del Castell","c. Molí, 21","08191","Rubí",,,,"625606453","av.laplanadelcastell@gmail.com",,"Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"131","Q2800226I","Comunidad Baha'i de Rubí","c. Sabadell, 21","08191","Rubí",,,,"618616311","angeles.gngr@gmail.com","www.bahaibarcelona.org/",,,,"818460009","Ajuntament de Rubí"
"133","G61380648","Associació de Veïns de Can Solà","c. José Echegaray, 9","08191","Rubí",,,,"619550180","aavvcansola@gmail.com",,"Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"135","G60613932","Asociación de Propietarios Valles-Park","Camí d'Ullastrell, 413","08191","Rubí",,,,"637750975","vallespark.zonaresidencial@gmail.com",,"Associació","Registre d'associacions (Generalitat)","1994-04-23T00:00:00.000+02:00","818460009","Ajuntament de Rubí"
"137","G61183034","Asociación Rociera Andaluza de Rubí","C. Topazi, 1","08191","Rubí","1","2.0258185963","41.4900554949","661657308","asociacionrocierarubi@gmail.com",,"Associació","Registre d'associacions (Generalitat)","1996-03-12T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"140","G61392445","Diables de Rubí","C. Xile, 3","08191","Rubí","4","2.033040072","41.4925344084","639719330","colladediablesderubi@gmail.com",,"Associació","Registre d'associacions (Generalitat)","1995-06-06T00:00:00.000+02:00","818460009","Ajuntament de Rubí"
"141","G59584295","Associació de Veïns de Castellnou Sector D","C. Viella s/n, Castellnou","08191","Rubí",,,,"626737528","aavvsectord@gmail.com",,"Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"143","G61197703","Els Castellers de Rubí","C. Xile, 3","08191","Rubí","4","2.033040072","41.4925344084","654474588","castellersderubi@castellersderubi.cat","www.castellersderubi.cat","Associació","Registre d'associacions (Generalitat)","1996-04-20T00:00:00.000+02:00","818460009","Ajuntament de Rubí"
"144","G61004412","Hoquei Club Rubí Cent Patins","Pg. de les Torres, 4","08191","Rubí","3","2.0302891253","41.4843317874","610902843","presidencia@centpatins.com","http://centpatins.com/","Associació",,"1995-12-21T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"147","G60710886","Associació de Veïns Can Mir-Castellnou Sector A","Racó de can Mir, s/n","08191","Rubí",,,,"600422827","avcanmir@gmail.com",,"Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"148","G59190579","Asociación de Vecinos de Castellnou -Can Tapis Sector B","c. Berga, s/n","08191","Rubí",,,,"660910273","terecantapis@gmail.com",,"Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"152","G58663733","International Police Association (IPA)","Ctra. Terrassa, 118","08191","Rubí","5","2.0350815818","41.503448015","666033481","ipavallesocc@ipavallesocc.org","www.ipaespaña.org","Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"154","G61323317","Amics dels automòbils antics de Rubí","c. Verge del Pilar, 19","08191","Rubí",,,,"636389821","classicrubi@gmail.com","www.automobilsantics.blogspot.com","Associació","Registre d'associacions (Generalitat)","1996-05-10T00:00:00.000+02:00","818460009","Ajuntament de Rubí"
"158","G60731999","Club de Rol PNJ nunca muere","Av. De Les Torres, edifici El Triangle","08191","Rubí",,,,"936974464",,"pnjnuncamuere.blogspot.com","Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"160","G61323721","Associació de Veïns Zona Mercat","c. Juan Ramón Jiménez, 18","08191","Rubí",,,,"644.87.25.65","david-goldenpool@hotmail.com",,"Associació","Registre d'associacions (Generalitat)","1997-03-25T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"163","G60871225","Casa Cultural Árabe de Rubí","c. Sabaell, 7","08191","Rubí",,,,"000000","casaculturalarabe@hotmail.com",,"Associació","Registre d'associacions (Generalitat)","1994-11-20T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"164","Q5800597F","Iglesia Cristiana Evangélica KIR","c. Rio Llobregat, 24","08191","Rubí",,,,"696033906","mision.kir@gmail.com",,,,"1991-09-02T00:00:00.000+02:00","818460009","Ajuntament de Rubí"
"166","G61471033","Club Patinatge Artístic Rubí","Pg. de le Torres, 4","08191","Rubí","3","2.0306441706","41.4843232966","608913851","cparubi@hotmail.es",,"Entitats esportives","Registre d'Entitats Esportives","1997-08-05T00:00:00.000+02:00","818460009","Ajuntament de Rubí"
"173","G58990961","Associació de Propietaris i Veïns de les Valls de Sant Muç","Casella postal 10 (Les Valls de Sant Muç)","08191","Rubí",,,,"935860607","aavvsantmuc@gmail.com",,"Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"174","G62582515","Activitat Social Rubinenca (ACSO)","C. ABAT ESCARRÉ, 19","08191","RUBI",,,,"619970517","info@acso.es; jordidiez@hotmail.com",,"Associació","Registre d'associacions (Generalitat)","1997-10-01T00:00:00.000+02:00","818460009","Ajuntament de Rubí"
"179","G60858826","Agrupación de personas mayores de la Zona Norte de Rubí","Ctra. Sabadell, 96","08191","Rubí","5","2.0338206164","41.5017261584","655980804","agrupacionpersonasmayoresrubi@hotmail.com; Quintanilla01@hotmail.es",,"Associació","Registre d'associacions (Generalitat)","1995-01-12T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"180","G60275229","Moviment de mestres de Rubí","C. Joaquim Blume, 28","08191","Rubí","4","2.0296757087","41.4940904184","658400814","mmrubi@avant.pangea.org","www.mmrubi.blogspot.com","Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"187","G61840013","Associació de Veïns Quatre Vents","Passatge dels Quatre Vents, 9","08191","Rubí",,,,"937883368","av4vents@gmail.com",,"Associació","Registre d'associacions (Generalitat)","1998-10-13T00:00:00.000+02:00","818460009","Ajuntament de Rubí"
"189","G60571668","Unió Atlètica Rubí","Av. Olimpiades, s/n","08191","Rubí","5","2.0434794682","41.5014710336","935882762","secretaria@uar.es; uar@uar.es","https://uar.es/","Entitats esportives","Registre d'Entitats Esportives","1993-10-08T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"191","G61931275","Associació de dones aturades i dones immigrants (ADAI)","c. Aribau, 3","08191","Rubí",,,,"0000","doracabrera@gmail.com",,"Associació","Registre d'associacions (Generalitat)","1999-02-01T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"192","G62017488","Companyia de dansa Metrónomo","c. Madrid, 59 2n 3a","08191","Rubí",,,,"936974323","ciadedansametronomo@gmail.com","www.ciametronomo.bogspot.com","Associació","Registre d'associacions (Generalitat)","1999-01-30T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"193","G59467142","Leones de Barcelona del Athetic club de Bilbao","Ctra. Sabadell, 17","08191","Rubí",,,,"651123711","harohidalgo1898@gmail.com; haro-hidalgo@hotmail.com","https://www.aupaathletic.com/...leones-de-barcelona/...athletic...","Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"196","G62129119","Associació de Gent Gran de Rubí i el seu entorn","c. Magallanes, 60","08191","Rubí",,,,"935884487","casalgentgranrubi@hotmail.com",,"Associació","Registre d'associacions (Generalitat)","1998-11-03T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"197","G62123633","Associació de Propietaris del sector de Can Balasch","Passeig de la Riera, 43 1r 2a","08191","Rubí",,,,"615229688","ximolavi@hotmail.com",,"Associació","Registre d'associacions (Generalitat)","1999-09-12T00:00:00.000+02:00","818460009","Ajuntament de Rubí"
