id,id_area,"AREA","SERVEI",id_carta,"CARTA","EXERCICI",ORDRE,"COMPROMISOS","OBJECTIUS_ANUALS","INDICADORS","UNITAT_COMPROMIS",COMPROMIS_ANUAL,RES_1R,RES_2R,RES_3R,RES_4R,RES_UNIC,GRAU_ACOMPLIMENT,PERCENTATGE,"CODI_ENS","NOM_ENS",id_compromis
"4","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2022","1","1.-Donar resposta ràpida a les peticions d'informació","5 dies","Nombre de dies","Dies","5.0","0.0","0.0","0.0","2.0","2.0","2.0","100.0","818460009","Ajuntament de Rubí","4"
"5","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2022","2","2.-Impulsar tres programacions trimestrals i una mensual (juliol) per any","3 programacions trimestrals i 1 mensual (juliol)","Nombre de programacions per any","Programacions","4.0","0.0","0.0","0.0","4.0","4.0","4.0","100.0","818460009","Ajuntament de Rubí","5"
"6","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2022","3","3.-Oferir propostes de proximitat sobre diversos àmbits de la cultura","2000 assistents/any","Nombre d'assistents a les activitats per al públic adult","Assistents","18.0","0.0","0.0","0.0","50.0","50.0","50.0","100.0","818460009","Ajuntament de Rubí","6"
"7","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2022","4","4.-Oferir activitats culturals adreçades a públic familiar segmentades per franja d'edat.","100% d'activitats familiars segmentades per franja d'edat","Percentatge d'activitats familiars segmentades per franja d'edat","Activitats","10.0","0.0","0.0","0.0","10.0","10.0","10.0","100.0","818460009","Ajuntament de Rubí","7"
"12","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2022","5","5.-Consolidar l'equipament com a espai de referència del teixit associatiu","10 dies","Nombre de dies en donar resposta a les sol·licituds d'espai per part del teixit associatiut","Dies","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","818460009","Ajuntament de Rubí","8"
"8","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2022","6","5.-Consolidar l'equipament com a espai de referència del teixit associatiu","25 entitats/any","Nombre d'entitats que fan ús de serveis de l'equipament per any","Entitats","10.0","0.0","0.0","0.0","2.0","2.0","2.0","0.0","818460009","Ajuntament de Rubí","8"
"9","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2022","7","5.-Consolidar l'equipament com a espai de referència del teixit associatiu","5 iniciatives i projectes impulsats pel teixit associatiu a l'equipament per any.","Nombre d'iniciatives i projectes impulsades pel teixit associatiu a l'equipament","Iniciatives / Projectes","45.0","0.0","0.0","0.0","45.0","45.0","45.0","100.0","818460009","Ajuntament de Rubí","8"
"10","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2022","8","5.-Consolidar l'equipament com a espai de referència del teixit associatiu","40% d'activitats  impulsades pel teixit associatiu","Percentatge d'activitats de impulsades pel teixit associatiu","Percentatge","25.0","0.0","0.0","0.0","24.0","24.0","24.0","0.0","818460009","Ajuntament de Rubí","8"
"11","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2022","9","5.-Consolidar l'equipament com a espai de referència del teixit associatiu","45 usos de mitjana mensual per any","Nombre d'usos mensuals per part del teixit associatiu","Usos","15.0","0.0","0.0","0.0","32.0","32.0","32.0","100.0","818460009","Ajuntament de Rubí","8"
"131","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2023","1","1.-Donar resposta ràpida a les peticions d'informació","5 dies","Nombre de dies","Dies","5.0","1.0","1.0","1.0","1.0","1.0","4.0","100.0","818460009","Ajuntament de Rubí","4"
"132","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2023","2","2.-Impulsar tres programacions trimestrals i una mensual (juliol) per any","3 programacions trimestrals i 1 mensual (juliol)","Nombre de programacions per any","Programacions","4.0","1.0","1.0","1.0","1.0","1.0","4.0","100.0","818460009","Ajuntament de Rubí","5"
"467","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2023","3","3.-Oferir propostes de proximitat sobre diversos àmbits de la cultura","2000 assistents/any","Nombre d'assistents a les activitats per al públic adult","Assistents","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","818460009","Ajuntament de Rubí","6"
"133","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2023","3","3.-Oferir propostes de proximitat sobre diversos àmbits de la cultura","2000 assistents/any","Nombre d'assistents a les activitats per al públic adult","Assistents","2000.0","0.0","0.0","0.0","0.0","15.0","0.0","0.0","818460009","Ajuntament de Rubí","6"
"134","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2023","4","4.-Oferir activitats culturals adreçades a públic familiar segmentades per franja d'edat.","100% d'activitats familiars segmentades per franja d'edat","Percentatge d'activitats familiars segmentades per franja d'edat","Activitats","10.0","2.0","3.0","3.0","3.0","2.0","11.0","100.0","818460009","Ajuntament de Rubí","7"
"139","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2023","5","5.-Consolidar l'equipament com a espai de referència del teixit associatiu","10 dies","Nombre de dies en donar resposta a les sol·licituds d'espai per part del teixit associatiut","Dies","5.0","1.0","1.0","1.0","1.0","1.0","4.0","100.0","818460009","Ajuntament de Rubí","8"
"135","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2023","6","5.-Consolidar l'equipament com a espai de referència del teixit associatiu","25 entitats/any","Nombre d'entitats que fan ús de serveis de l'equipament per any","Entitats","25.0","21.0","24.0","15.0","21.0","1.0","81.0","100.0","818460009","Ajuntament de Rubí","8"
"136","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2023","7","5.-Consolidar l'equipament com a espai de referència del teixit associatiu","5 iniciatives i projectes impulsats pel teixit associatiu a l'equipament per any.","Nombre d'iniciatives i projectes impulsades pel teixit associatiu a l'equipament","Iniciatives / Projectes","5.0","0.0","0.0","0.0","0.0","28.0","0.0","0.0","818460009","Ajuntament de Rubí","8"
"137","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2023","8","5.-Consolidar l'equipament com a espai de referència del teixit associatiu","40% d'activitats  impulsades pel teixit associatiu","Percentatge d'activitats de impulsades pel teixit associatiu","Percentatge","35.0","28.0","35.0","21.0","33.0","21.0","117.0","100.0","818460009","Ajuntament de Rubí","8"
"138","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2023","9","5.-Consolidar l'equipament com a espai de referència del teixit associatiu","45 usos de mitjana mensual per any","Nombre d'usos mensuals per part del teixit associatiu","Usos","45.0","51.0","50.0","24.0","77.0","51.0","202.0","100.0","818460009","Ajuntament de Rubí","8"
"264","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2024","1","1.-Donar resposta ràpida a les peticions d'informació","5 dies","Nombre de dies","Dies","5.0","2.0","2.0","2.0","2.0","0.0","2.0","100.0","818460009","Ajuntament de Rubí","4"
"265","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2024","2","2.-Impulsar tres programacions trimestrals i una mensual (juliol) per any","3 programacions trimestrals i 1 mensual (juliol)","Nombre de programacions per any","Programacions","4.0","1.0","1.0","1.0","1.0","0.0","4.0","100.0","818460009","Ajuntament de Rubí","5"
"266","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2024","3","3.-Oferir propostes de proximitat sobre diversos àmbits de la cultura","2000 assistents/any","Nombre d'assistents a les activitats per al públic adult","Assistents","2000.0","1074.0","1055.0","1041.0","1169.0","0.0","4339.0","100.0","818460009","Ajuntament de Rubí","6"
"388","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2024","4","3.-Oferir propostes de proximitat sobre diversos àmbits de la cultura","Oferir propostes de proximitat pels 8 àmbits  culturals","Nombre de propostes per àmbit","Propostes","32.0","25.0","31.0","24.0","26.0","0.0","106.0","100.0","818460009","Ajuntament de Rubí","6"
"389","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2024","5","4.-Oferir activitats culturals adreçades a públic familiar segmentades per franja d'edat.","10 activitats familiars per programació trimestral i 4 per mes","Nombre d'activitats familiars per programació","Activitats","28.0","7.0","10.0","6.0","17.0","0.0","40.0","100.0","818460009","Ajuntament de Rubí","7"
"390","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2024","6","4.-Oferir activitats culturals adreçades a públic familiar segmentades per franja d'edat.","2000 assistents/any","Nombre d'assistents a les activitats de la programació familiar de l'equipament","Assistents","2000.0","175.0","397.0","403.0","426.0","0.0","1401.0","70.0","818460009","Ajuntament de Rubí","7"
"267","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2024","7","4.-Oferir activitats culturals adreçades a públic familiar segmentades per franja d'edat.","100% d'activitats familiars segmentades per franja d'edat","Percentatge d'activitats familiars segmentades per franja d'edat","Activitats","100.0","100.0","100.0","100.0","100.0","0.0","100.0","100.0","818460009","Ajuntament de Rubí","7"
"272","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2024","8","5.-Consolidar l'equipament com a espai de referència del teixit associatiu","10 dies","Nombre de dies en donar resposta a les sol·licituds d'espai per part del teixit associatiut","Dies","10.0","2.0","2.0","2.0","2.0","0.0","8.0","100.0","818460009","Ajuntament de Rubí","8"
"268","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2024","9","5.-Consolidar l'equipament com a espai de referència del teixit associatiu","25 entitats/any","Nombre d'entitats que fan ús de serveis de l'equipament per any","Entitats","25.0","9.0","0.0","0.0","0.0","0.0","9.0","36.0","818460009","Ajuntament de Rubí","8"
"269","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2024","10","5.-Consolidar l'equipament com a espai de referència del teixit associatiu","5 iniciatives i projectes impulsats pel teixit associatiu a l'equipament per any.","Nombre d'iniciatives i projectes impulsades pel teixit associatiu a l'equipament","Iniciatives / Projectes","5.0","9.0","12.0","8.0","8.0","0.0","37.0","100.0","818460009","Ajuntament de Rubí","8"
"270","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2024","11","5.-Consolidar l'equipament com a espai de referència del teixit associatiu","40% d'activitats  impulsades pel teixit associatiu","Percentatge d'activitats de impulsades pel teixit associatiu","Percentatge","40.0","36.0","39.0","31.0","30.0","0.0","34.0","85.0","818460009","Ajuntament de Rubí","8"
"271","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2024","12","5.-Consolidar l'equipament com a espai de referència del teixit associatiu","45 usos de mitjana mensual per any","Nombre d'usos mensuals per part del teixit associatiu","Usos","450.0","59.0","175.0","57.0","34.0","0.0","325.0","72.0","818460009","Ajuntament de Rubí","8"
"391","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2024","13","6.-Donar suport a altres serveis municipals","15 usos de mitjana/mes","Nombre d'usos mensuals per part d'altres serveis municipals","Usos","150.0","17.0","74.0","25.0","17.0","0.0","133.0","88.0","818460009","Ajuntament de Rubí","110"
"392","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2024","14","7.-Disposar d'un punt d'informació sobre les activitats i formacions culturals a l'Ateneu i a la ciutat","100 persones/any","Nombre de persones ateses","Persones","100.0","0.0","237.0","54.0","63.0","0.0","354.0","100.0","818460009","Ajuntament de Rubí","111"
"465","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2025","1","1.-Donar resposta ràpida a les peticions d'informació","5 dies","Nombre de dies","Dies","5.0","2.0","0.0","0.0","0.0","0.0","0.5","100.0","818460009","Ajuntament de Rubí","4"
"466","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2025","2","2.-Impulsar tres programacions trimestrals i una mensual (juliol) per any","3 programacions trimestrals i 1 mensual (juliol)","Nombre de programacions per any","Programacions","4.0","2.0","0.0","0.0","0.0","0.0","2.0","50.0","818460009","Ajuntament de Rubí","5"
"468","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2025","3","3.-Oferir propostes de proximitat sobre diversos àmbits de la cultura","2000 assistents/any","Nombre d'assistents a les activitats per al públic adult","Assistents","2000.0","655.0","0.0","0.0","0.0","0.0","655.0","32.0","818460009","Ajuntament de Rubí","6"
"469","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2025","4","3.-Oferir propostes de proximitat sobre diversos àmbits de la cultura","Oferir propostes de proximitat pels 8 àmbits  culturals","Nombre de propostes per àmbit","Propostes","32.0","31.0","0.0","0.0","0.0","0.0","31.0","96.0","818460009","Ajuntament de Rubí","6"
"470","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2025","5","4.-Oferir activitats culturals adreçades a públic familiar segmentades per franja d'edat.","10 activitats familiars per programació trimestral i 4 per mes","Nombre d'activitats familiars per programació","Activitats","28.0","9.0","0.0","0.0","0.0","0.0","9.0","32.0","818460009","Ajuntament de Rubí","7"
"472","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2025","6","4.-Oferir activitats culturals adreçades a públic familiar segmentades per franja d'edat.","2000 assistents/any","Nombre d'assistents a les activitats de la programació familiar de l'equipament","Assistents","2000.0","246.0","0.0","0.0","0.0","0.0","246.0","12.0","818460009","Ajuntament de Rubí","7"
"474","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2025","7","4.-Oferir activitats culturals adreçades a públic familiar segmentades per franja d'edat.","100% d'activitats familiars segmentades per franja d'edat","Percentatge d'activitats familiars segmentades per franja d'edat","Activitats","100.0","100.0","0.0","0.0","0.0","0.0","25.0","25.0","818460009","Ajuntament de Rubí","7"
"475","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2025","8","5.-Consolidar l'equipament com a espai de referència del teixit associatiu","10 dies","Nombre de dies en donar resposta a les sol·licituds d'espai per part del teixit associatiut","Dies","10.0","1.0","0.0","0.0","0.0","0.0","1.0","100.0","818460009","Ajuntament de Rubí","8"
"476","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2025","9","5.-Consolidar l'equipament com a espai de referència del teixit associatiu","5 iniciatives i projectes impulsats pel teixit associatiu a l'equipament per any.","Nombre d'iniciatives i projectes impulsades pel teixit associatiu a l'equipament","Iniciatives / Projectes","5.0","7.0","0.0","0.0","0.0","0.0","7.0","100.0","818460009","Ajuntament de Rubí","8"
"477","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2025","10","5.-Consolidar l'equipament com a espai de referència del teixit associatiu","40% d'activitats  impulsades pel teixit associatiu","Percentatge d'activitats de impulsades pel teixit associatiu","Percentatge","40.0","23.0","0.0","0.0","0.0","0.0","5.75","14.0","818460009","Ajuntament de Rubí","8"
"478","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2025","11","5.-Consolidar l'equipament com a espai de referència del teixit associatiu","45 usos de mitjana mensual per any","Nombre d'usos mensuals per part del teixit associatiu","Usos","45.0","46.0","0.0","0.0","0.0","0.0","46.0","100.0","818460009","Ajuntament de Rubí","8"
"479","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2025","12","6.-Donar suport a altres serveis municipals","15 usos de mitjana/mes","Nombre d'usos mensuals per part d'altres serveis municipals","Usos","150.0","47.0","0.0","0.0","0.0","0.0","47.0","31.0","818460009","Ajuntament de Rubí","110"
"480","2","Projecció de la Ciutat, Cultura i Esports","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","2","ATENEU","2025","13","7.-Disposar d'un punt d'informació sobre les activitats i formacions culturals a l'Ateneu i a la ciutat","100 persones/any","Nombre de persones ateses","Persones","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","818460009","Ajuntament de Rubí","111"
"13","3","Sostenibilitat i Serveis Municipals","U035 - SERVEI DE SALUT PÚBLICA","3","BENESTAR ANIMAL","2022","1","1.-Inscripcions al cens municipal d'animals de companyia","Optimitzar el temps d\'inscripció al cens d\'animals","Temps d'inscripció a la base de dades des de la recepció de la sol·licitud","No informat","15.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","818460009","Ajuntament de Rubí","9"
"14","3","Sostenibilitat i Serveis Municipals","U035 - SERVEI DE SALUT PÚBLICA","3","BENESTAR ANIMAL","2022","2","2.-Recollida d'animals de companyia abandonats o perduts","<3 hores","Temps de recollida del 90% dels animals","Hores","180.0","74.0","69.0","74.0","63.0","0.0","70.0","100.0","818460009","Ajuntament de Rubí","10"
"15","3","Sostenibilitat i Serveis Municipals","U035 - SERVEI DE SALUT PÚBLICA","3","BENESTAR ANIMAL","2022","3","3.-Autoritzacions per a esterilitzar gats de carrer","<7 dies","Temps de resposta del 90% de les sol·licituds","No informat","124.0","72.0","48.0","4.0","0.0","0.0","31.0","100.0","818460009","Ajuntament de Rubí","11"
"16","3","Sostenibilitat i Serveis Municipals","U035 - SERVEI DE SALUT PÚBLICA","3","BENESTAR ANIMAL","2022","4","4.-Consultes i queixes al correu electrònic de la Unitat de Benestar Animal i Tinença Responsable","<7 dies","Temps de resposta del 90% de les sol·licituds","Dies","7.0","1.0","4.0","3.0","3.0","0.0","2.75","100.0","818460009","Ajuntament de Rubí","12"
"140","3","Sostenibilitat i Serveis Municipals","U035 - SERVEI DE SALUT PÚBLICA","3","BENESTAR ANIMAL","2023","1","1.-Inscripcions al cens municipal d'animals de companyia","Optimitzar el temps d\'inscripció al cens d\'animals","Temps d'inscripció a la base de dades des de la recepció de la sol·licitud","No informat","15.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","818460009","Ajuntament de Rubí","9"
"141","3","Sostenibilitat i Serveis Municipals","U035 - SERVEI DE SALUT PÚBLICA","3","BENESTAR ANIMAL","2023","2","2.-Recollida d'animals de companyia abandonats o perduts","<3 hores","Temps de recollida del 90% dels animals","Hores","3.0","0.57","1.32","1.09","1.23","0.0","1.0525","100.0","818460009","Ajuntament de Rubí","10"
"142","3","Sostenibilitat i Serveis Municipals","U035 - SERVEI DE SALUT PÚBLICA","3","BENESTAR ANIMAL","2023","3","3.-Autoritzacions per a esterilitzar gats de carrer","<7 dies","Temps de resposta del 90% de les sol·licituds","No informat","124.0","45.0","17.0","13.0","36.0","0.0","27.75","100.0","818460009","Ajuntament de Rubí","11"
"143","3","Sostenibilitat i Serveis Municipals","U035 - SERVEI DE SALUT PÚBLICA","3","BENESTAR ANIMAL","2023","4","4.-Consultes i queixes al correu electrònic de la Unitat de Benestar Animal i Tinença Responsable","<7 dies","Temps de resposta del 90% de les sol·licituds","Dies","6.0","1.3","2.5","6.0","6.0","0.0","3.95","100.0","818460009","Ajuntament de Rubí","12"
"274","3","Sostenibilitat i Serveis Municipals","U035 - SERVEI DE SALUT PÚBLICA","3","BENESTAR ANIMAL","2024","1","2.-Recollida d'animals de companyia abandonats o perduts","<3 hores","Temps de recollida del 90% dels animals","Hores","3.0","0.44","1.17","1.15","1.1","0.0","0.965","100.0","818460009","Ajuntament de Rubí","10"
"275","3","Sostenibilitat i Serveis Municipals","U035 - SERVEI DE SALUT PÚBLICA","3","BENESTAR ANIMAL","2024","2","3.-Autoritzacions per a esterilitzar gats de carrer","<7 dies","Temps de resposta del 90% de les sol·licituds","No informat","6.0","1.0","1.0","1.0","1.0","0.0","1.0","100.0","818460009","Ajuntament de Rubí","11"
"276","3","Sostenibilitat i Serveis Municipals","U035 - SERVEI DE SALUT PÚBLICA","3","BENESTAR ANIMAL","2024","3","4.-Consultes i queixes al correu electrònic de la Unitat de Benestar Animal i Tinença Responsable","<7 dies","Temps de resposta del 90% de les sol·licituds","Dies","6.0","6.0","5.0","4.0","6.0","0.0","5.25","100.0","818460009","Ajuntament de Rubí","12"
